name,distance,district_id,updated_at,active
Quốc lộ 1,,441,NULL,1
Quốc lộ 1,Đoạn Trung tâm ngã ba (phạm vi 300 m) ,441,,
Quốc lộ 1,Các đoạn còn lại Đoạn qua xã Xuân Định,441,,
Quốc lộ 1,Đoạn từ giáp ranh xã Xuân Định đến hết Giáo xứ Xuân Bình,441,,
Quốc lộ 1,Đoạn từ giáp Giáo xứ Xuân Bình qua Trung tâm xã Bảo Hòa (300 m),441,,
Quốc lộ 1,Đoạn tiếp theo tới giáp ranh xã Xuân Phú,441,,
Quốc lộ 1,"Khu vực chợ Bình Hòa hướng đi Long Khánh 400 m, hướng Ông Đồn 200 m",441,,
Quốc lộ 1,Các đoạn còn lại Đoạn qua xã Xuân Phú,441,,
Quốc lộ 1,Khu vực ngã ba Suối Cát B20 (phạm vi 200 m),441,,
Quốc lộ 1,Khu vực ngã ba Bảo Chánh (phạm vi 200 m),441,,
Quốc lộ 1,Các đoạn còn lại Đoạn qua xã Suối Cát,441,,
Quốc lộ 1,Đoạn từ giáp ranh thị trấn Gia Ray đến suối,441,,
Quốc lộ 1,Đoạn từ suối đến hết Giáo xứ RuSeyKeo,441,,
Quốc lộ 1,Các đoạn còn lại Đoạn qua xã Xuân Hiệp,441,,
Quốc lộ 1,Đoạn từ giáp ranh thị trấn Gia Ray đến hết Trường Mầm non ấp 6,441,,
Quốc lộ 1,Đoạn từ giáp Trường Mầm non ấp 6 đến hết Chùa Quảng Long,441,,
Quốc lộ 1,Đoạn từ giáp Chùa Quảng Long đến cầu Trắng,441,,
Quốc lộ 1,Đoạn từ cầu Trắng đến giáp ranh xã Xuân Hưng,441,,
Quốc lộ 1,Từ giáp ranh xã Xuân Tâm đến hết cây xăng Huy Hoàng,441,,
Quốc lộ 1,Từ giáp cây xăng Huy Hoàng đến đường Tà Lú + 800m,441,,
Quốc lộ 1,Từ đường Tà Lú + 800 m đến hết Giáo xứ Long Thuận,441,,
Quốc lộ 1,Từ giáp Giáo xứ Long Thuận đến đường vào Tịnh xá Ngọc Hưng,441,,
Quốc lộ 1,Từ đường vào Tịnh xá Ngọc Hưng đến giáp ranh xã Xuân Hòa,441,,
Quốc lộ 1,Từ giáp ranh xã Xuân Hưng đến đường Sóc Ba Buông,441,,
Quốc lộ 1,Từ đường Sóc Ba Buông đến ranh giới tỉnh Bình Thuận,441,,
Đường tỉnh 766,Từ cầu Phước Hưng đến hết Chùa Long Quang,441,,
Đường tỉnh 766,Từ giáp Chùa Long Quang đến ngã ba Suối Cao,441,,
Đường tỉnh 766,Từ ngã ba Suối Cao đến đường số 3 ấp Trung Lương,441,,
Đường tỉnh 766,Các đoạn còn lại qua xã Xuân Trường,441,,
Đường tỉnh 766,Đoạn từ giáp ranh xã Xuân Trường đến cây xăng số 9,441,,
Đường tỉnh 766,Đoạn từ cây xăng số 9 đến chợ Tân Hữu ,441,,
Đường tỉnh 766,Đoạn từ chợ Tân Hữu đến ranh giới tỉnh Bình Thuận,441,,
Đường tỉnh 765,,441,,
Đường tỉnh 765,Đoạn từ Quốc lộ 1 vào 300 m,441,,
Đường tỉnh 765,Đoạn từ cách Quốc lộ 1 trên 300 m đến hết Trường THCS Nguyễn Hiền,441,,
Đường tỉnh 765,Đoạn từ giáp Trường THCS Nguyễn Hiền đến hết cây xăng Đình Hường,441,,
Đường tỉnh 765,Đoạn từ giáp cây xăng Đình Hường đến giáp ranh xã Xuân Hiệp,441,,
Đường tỉnh 765,Các đoạn còn lại qua xã Suối Cát,441,,
Đường tỉnh 765,Đoạn qua xã Xuân Hiệp,441,,
Đường tỉnh 765,Đoạn từ trung tâm ngã ba Lang Minh (phạm vi 200 m),441,,
Đường tỉnh 765,Các đoạn còn lại thuộc xã Lang Minh,441,,
Đường tỉnh 763,,441,,
Đường tỉnh 763,Đoạn từ Quốc lộ 1 đến cây xăng Gia Nguyễn Minh,441,,
Đường tỉnh 763,Đoạn từ cây xăng Gia Nguyễn Minh đến giáp ranh xã Xuân Thọ,441,,
Đường tỉnh 763,Đoạn từ giáp ranh xã Suối Cát đến hết cây xăng Tín Nghĩa,441,,
Đường tỉnh 763,Khu vực trung tâm xã Xuân Thọ (từ giáp cây xăng Tín Nghĩa đi Xuân Bắc 400 m),441,,
Đường tỉnh 763,Đoạn từ khu vực trung tâm xã Xuân Thọ đến cầu Cao,441,,
Đường tỉnh 763,Đoạn còn lại xã Xuân Thọ,441,,
Đường tỉnh 763,Đoạn trung tâm xã Xuân Bắc về 02 hướng (phạm vi 300 m),441,,
Đường tỉnh 763,Từ giáp ranh xã Xuân Thọ đến giáp đoạn trung tâm xã Xuân Bắc (phạm vị 300 m),441,,
Đường tỉnh 763,Đoạn giáp ranh huyện Định Quán,441,,
Đường tỉnh 763,Đoạn còn lại xã Xuân Bắc,441,,
"Đường Xuân Định - Lâm San (xã Xuân Định, Bảo Hòa)",Đoạn từ ngã ba Xuân Định qua chợ Bảo Định cách ngã ba 200 m,441,,
"Đường Xuân Định - Lâm San (xã Xuân Định, Bảo Hòa)",Đoạn từ cách ngã ba Xuân Định 200 m đến hết nghĩa địa Bảo Thị,441,,
"Đường Xuân Định - Lâm San (xã Xuân Định, Bảo Hòa)",Đoạn từ giáp nghĩa địa Bảo Thị đến giáp ranh xã Xuân Bảo,441,,
Đường Bình Tiến Xuân Phú - Xuân Tây (xã Xuân Phú),Đoạn từ giáp Quốc lộ 1đến hết nghĩa địa ấp Bình Tân,441,,
Đường Bình Tiến Xuân Phú - Xuân Tây (xã Xuân Phú),Đoạn từ giáp nghĩa địa ấp Bình Tân đến ngã ba Trung tâm cai nghiện Xuân Phú,441,,
Đường Bình Tiến Xuân Phú - Xuân Tây (xã Xuân Phú),Đoạn còn lại,441,,
Đường Xuân Hưng đi Xuân Tâm (xã Xuân Hưng),Từ Quốc lộ 1vào 300 m,441,,
Đường Xuân Hưng đi Xuân Tâm (xã Xuân Hưng),Đoạn còn lại,441,,
Đường Xuân Lộc - Long Khánh,Đoạn từ đường tỉnh 766 đến ngã ba Trung Nghĩa,441,,
Đường Xuân Lộc - Long Khánh,Đoạn từ ngã ba Trung Nghĩa đến cầu Gió Bay,441,,
Đường Xuân Lộc - Long Khánh,Trung tâm chợ Thọ Lộc phạm vi 200 m,441,,
Đường Xuân Lộc - Long Khánh,Đoạn ngã tư Bảo Chánh phạm vi 200 m,441,,
Đường Xuân Lộc - Long Khánh,Các đoạn còn lại qua xã Xuân Thọ,441,,
Đường Xuân Lộc - Long Khánh,Đoạn qua xã Suối Cao,441,,
Đường Xuân Tâm đi Trảng Táo (xã Xuân Tâm),Đoạn đầu 100 m,441,,
Đường Xuân Tâm đi Trảng Táo (xã Xuân Tâm),Đoạn tiếp theo đến 400 m,441,,
Đường Xuân Tâm đi Trảng Táo (xã Xuân Tâm),Đoạn tiếp theo đến qua Nhà máy cồn 200 m,441,,
Đường Xuân Tâm đi Trảng Táo (xã Xuân Tâm),Đoạn còn lại,441,,
Đường Xuân Tâm - Xuân Đông (xã Xuân Tâm),Đoạn đầu từ Quốc lộ 1đến Văn phòng ấp 5 (ngã tư đường sau chợ Xuân Đà),441,,
Đường Xuân Tâm - Xuân Đông (xã Xuân Tâm),Đoạn tiếp theo đến hết kho xưởng (Nguyễn Sáng),441,,
Đường Xuân Tâm - Xuân Đông (xã Xuân Tâm),Đoạn còn lại,441,,
Đường Xuân Trường - Suối Cao,,441,,
Đường Xuân Trường - Suối Cao,Đoạn từ Đường tỉnh 766 đến ngã 3 đường vào Trại giam Xuân Lộc,441,,
Đường Xuân Trường - Suối Cao,Đoạn từ ngã 3 đường vào Trại giam Xuân Lộc đến giáp ranh xã Suối Cao,441,,
Đường Xuân Trường - Suối Cao,Đoạn trung tâm xã Suối Cao phạm vi 250 m,441,,
Đường Xuân Trường - Suối Cao,Đoạn từ đường Xuân Thành - Suối Cao - Xuân Bắc đến đường Chà Rang - Xuân Thọ,441,,
Đường Xuân Trường - Suối Cao,Đoạn còn lại xã Suối Cao,441,,
Đường Gia Tỵ - Suối Cao (xã Suối Cao),,441,,
Đường trung tâm xã Suối Cao đi cao su (xã Suối Cao),Đường trung tâm xã (phạm vi 250 m),441,,
Đường trung tâm xã Suối Cao đi cao su (xã Suối Cao),Đoạn còn lại,441,,
Đường Lang Minh - Suối Đá (xã Lang Minh),,441,,
Đường Lang Minh - Xuân Đông (xã Lang Minh),,441,,
Đường vào thác Trời (xã Xuân Bắc),,441,,
Đường Thọ Bình đi Thọ Phước (xã Xuân Thọ),,441,,
Đường Thọ Trung đi Bảo Quang (xã Xuân Thọ),,441,,
Đường Thọ Chánh đi Thọ Tân (xã Xuân Thọ),,441,,
Đường Lê Hồng Phong (xã Xuân Định),,441,,
Đường Suối Rết B (xã Xuân Định),,441,,
Đường Sóc Ba Buông (xã Xuân Hòa),Đoạn từ Quốc lộ 1đến giáp đường Xuân Hòa 5,441,,
Đường Sóc Ba Buông (xã Xuân Hòa),Đoạn còn lại ,441,,
Đường Xuân Thành - Suối Cao - Xuân Bắc,Đoạn từ đường tỉnh 766 đến ngã 3 Ông Sáng Chùa,441,,
Đường Xuân Thành - Suối Cao - Xuân Bắc,Đoạn còn lại qua xã Xuân Thành,441,,
Đường Xuân Thành - Suối Cao - Xuân Bắc,Đoạn ngã 3 giao đường Xuân Thành - Suối Cao - Xuân Bắc và đường Xuân Trường - Suối Cao (phạm vi 250 m) thuộc xã Suối Cao,441,,
Đường Xuân Thành - Suối Cao - Xuân Bắc,Đoạn còn lại qua xã Suối Cao,441,,
Đường Xuân Thành - Suối Cao - Xuân Bắc,Đoạn từ đường tỉnh 763 đến cầu Suối Tre,441,,
Đường Xuân Thành - Suối Cao - Xuân Bắc,Đoạn từ cầu Suối Tre đến cầu Số 2,441,,
Đường Xuân Thành - Suối Cao - Xuân Bắc,Đoạn còn lại qua xã Xuân Bắc,441,,
"Đường Chiến Thắng - Long Khánh (xã Bảo Hòa, Xuân Định)",,441,,
Đường Bình Tiến Xuân Phú đi Trung tâm cai nghiện Xuân Phú (xã Xuân Phú),Đoạn từ giáp Quốc lộ 1 đến 500 m,441,,
Đường Bình Tiến Xuân Phú đi Trung tâm cai nghiện Xuân Phú (xã Xuân Phú),Đoạn tiếp theo đến ngã ba Trung tâm cai nghiện Xuân Phú (xã Xuân Phú),441,,
Đường đồi đá Bảo Hòa đi Long Khánh (xã Bảo Hòa),Đoạn từ Quốc lộ 1 đến 500 m,441,,
Đường đồi đá Bảo Hòa đi Long Khánh (xã Bảo Hòa),Các đoạn còn lại,441,,
Đường Tà Lú (xã Xuân Hưng),Đoạn từ Quốc lộ 1 đến 300 m,441,,
Đường Tà Lú (xã Xuân Hưng),Các đoạn còn lại,441,,
Đường khu 7 - ấp Thọ Hòa (xã Xuân Thọ),,441,,
Đường C2 - ấp Thọ Chánh (xã Xuân Thọ),,441,,
Đường C4 - ấp Thọ Chánh (xã Xuân Thọ),,441,,
Đường L6 - ấp Thọ Lộc (xã Xuân Thọ),,441,,
Đường B7 - ấp Thọ Bình (xã Xuân Thọ),,441,,
Đường cây số 5 (xã Xuân Trường),,441,,
Đường số 3 ấp Trung Lương (xã Xuân Trường),,441,,
Đường Cây Keo (xã Xuân Trường),,441,,
Đường cây số 2 (xã Xuân Trường),,441,,
Đường Suối Lạnh (xã Xuân Trường),,441,,
Đường Trung Tín (xã Xuân Trường),,441,,
Đường Thành Công (xã Xuân Trường),,441,,
Đường Mả Vôi đi ấp Bưng Cần (xã Bảo Hòa),Đoạn từ Quốc lộ 1đến đường Tổ 13,441,,
Đường Mả Vôi đi ấp Bưng Cần (xã Bảo Hòa),Đoạn còn lại,441,,
Đường Chiến Thắng đi Nam Hà (xã Bảo Hòa),Đoạn từ Quốc lộ 1 đến suối Cạn,441,,
Đường Chiến Thắng đi Nam Hà (xã Bảo Hòa),Đoạn còn lại,441,,
Đường Hiệp Tiến (xã Xuân Hiệp),,441,,
Đường Tân Hiệp (xã Xuân Hiệp),,441,,
Đường Xuân Hiệp - Gia Lào (đoạn qua Xuân Hiệp),,441,,
Đường Xuân Hiệp 11,,441,,
Đường Việt Kiều 1 (xã Xuân Hiệp),,441,,
Đường Việt Kiều 2 (xã Xuân Hiệp),,441,,
Đường Trịnh Hoài Đức (xã Xuân Hiệp),,441,,
Đường vào Trạm y tế (xã Xuân Hiệp),,441,,
Đường Tam Hiệp - Tân Tiến (xã Xuân Hiệp),,441,,
Đường Bình Hòa - Long Khánh (xã Xuân Phú),,441,,
Đường Làng Dân tộc Chơro ấp Bình Hòa (xã Xuân Phú),Đoạn từ Quốc lộ 1 đến cầu Bình Hòa,441,,
Đường Làng Dân tộc Chơro ấp Bình Hòa (xã Xuân Phú),Đoạn còn lại,441,,
Đường nội ấp Bình Xuân 1 (xã Xuân Phú),,441,,
Đường nội ấp Bình Xuân 2 (xã Xuân Phú),,441,,
Đường nội ấp Bình Tiến (xã Xuân Phú),,441,,
"Đường nội ấp Bình Tiến - Lang Minh (xã Xuân Phú, Lang Minh)",,441,,
Đường vào chùa Gia Lào (xã Xuân Trường),,441,,
Đường Chà Rang - Xuân Thọ (xã Suối Cao),,441,,
Đường Láng Tre - Xuân Thành (xã Suối Cao),,441,,
Đường Xuân Hòa 2 (xã Xuân Hòa),,441,,
Đường Xuân Hòa 5 (xã Xuân Hòa),,441,,
Đường vào Hồ Núi Le (xã Xuân Trường),,441,,
Đường Ngô Đức Kế (xã Xuân Trường),,441,,
Đường Nguyễn Thị Minh Khai (xã Xuân Tâm),,441,,
Đường Huỳnh Văn Nghệ (xã Xuân Tâm),,441,,
Đường NaGoa (xã Xuân Bắc),,441,,
Đường Hùng Vương,Đoạn qua xã Xuân Hiệp,441,,
Đường Hùng Vương,Đoạn qua xã Xuân Trường,441,,
Đường vào ấp Bàu Cối (xã Xuân Bắc),,441,,
Đường Xuân Trường - Trảng Táo (xã Xuân Trường),,441,,
Đường xóm Quảng - ấp Trung Tín (xã Xuân Trường),,441,,
Đường xóm Huế - ấp Trung Tín (xã Xuân Trường),,441,,
Đường Bàu Gia Ló - ấp Trung Nghĩa (xã Xuân Trường),,441,,
Đường Đoàn kết - ấp Trung Nghĩa (xã Xuân Trường),,441,,
Đường Suối Đá - ấp Trung Sơn (xã Xuân Trường),,441,,
Đường Đông Trung Lương (xã Xuân Trường),,441,,
"Đường Kinh Tế - ấp Gia Hòa (xã Xuân Trường, Xuân Thành)",,441,,
Đường Cây Me - ấp Trung Sơn (xã Xuân Trường),,441,,
Đường Song Hành (xã Suối Cát - Xuân Hiệp),,441,,
Đường vào UBND xã Xuân Hiệp,,441,,
Đường Xuân Hiệp 12,,441,,
Đường Xuân Hiệp 14,,441,,
Đường Việt Kiều 5 (xã Xuân Hiệp),,441,,
"Đường hẻm 2652/2, đường Xuân Hiệp 22",,441,,
Đường Xuân Hiệp - Lang Minh,,441,,
Đường Xuân Hiệp 2,,441,,
Đường Xuân Hiệp 3,,441,,
Đường Xuân Hiệp 4,,441,,
Đường Xuân Hiệp 5,,441,,
Đường Xuân Hiệp 6,,441,,
Đường Xuân Hiệp 7,,441,,
Đường Xuân Hiệp 8,,441,,
Đường Xuân Hiệp 9,,441,,
Đường Xuân Hiệp 10,,441,,
Đường Xuân Hiệp 16,,441,,
Đường Xuân Hiệp 17,,441,,
Đường Xuân Hiệp 25,,441,,
Đường đi vào Nông trường Thọ Vực (xã Xuân Bắc),,441,,
Đường đi Xuân Bắc - Long Khánh (xã Xuân Bắc),,441,,
Đường ấp 1 đi Bảo Quang (xã Xuân Bắc),,441,,
Đường ấp 6 đi Bảo Quang (xã Xuân Bắc),,441,,
Đường cầu Đội 1 ấp 8 (xã Xuân Bắc),,441,,
Đường vào đồi đất đỏ (xã Xuân Bắc),,441,,
Đường SaBi (xã Xuân Bắc),,441,,
Đường ấp 3B đi Nông trường Thọ Vực (xã Xuân Bắc),,441,,
Đường hẻm cầu Gia Trấp,,441,,
Đường Bà Rết,,441,,
Đường Nông Doanh 1 (xã Xuân Định),,441,,
Đường Nông Doanh 2 (xã Xuân Định),,441,,
Đường Nông Doanh 3 (xã Xuân Định),,441,,
Đường văn hóa Nông Doanh (xã Xuân Định),,441,,
Đường Xuân Phú 16 (xã Xuân Phú),,441,,
Đường Xuân Phú 19 (xã Xuân Phú),,441,,
Đường Xuân Phú 29 (xã Xuân Phú),,441,,
Đường Trường An (xã Xuân Phú),,441,,
Đường Bình Minh đi ấp Hiệp Hưng (xã Suối Cát),Đoạn từ Quốc lộ 1đến ngã 3 ông Sang,441,,
Đường Bình Minh đi ấp Hiệp Hưng (xã Suối Cát),Đoạn còn lại,441,,
Đường Xuân Hòa 3 (xã Xuân Hòa),,441,,
Đường 8/3 (xã Xuân Thành),,441,,
Đường lô 13 (xã Xuân Thành),,441,,
Đường tổ 6-7 (xã Xuân Thành),,441,,
Đường 30/4 (xã Xuân Thành),,441,,
Đường 19/5 (xã Xuân Thành),,441,,
Đường 3/2 (xã Xuân Thành),,441,,
Đường Xuân Thành đi Trảng Táo (xã Xuân Thành),,441,,
Đường Tân Hữu đi Trảng Táo (xã Xuân Thành),Đoạn từ Đường tỉnh 766 đến giáp Nhà thờ Tân Hữu,441,,
Đường Tân Hữu đi Trảng Táo (xã Xuân Thành),Đoạn còn lại,441,,
Đường Cách Mạng Tháng 8,Đoạn từ ngã ba mũi tàu (giáp đường Hà Huy Giáp) đến đường Nguyễn Văn Trị,432,,
