IDTSSS,land_type_purpose,total_area,estimation_value,price_land,TotalAmount,UnitPrice
3553,57,85.6,5000000,"401,710,000","3,439,350,000","40,179,322"
3556,57,55,1680000,"575,310,000","3,164,690,000","57,539,818"
3558,61,7642,390000,"18,310,000","14,060,000,000","1,839,833"
3568,58,100,2600000,"98,910,000","3,217,320,000","9,899,446"
3568,61,225,180000,"74,710,000","3,217,320,000","9,899,446"
3573,57,139.5,4000000,"265,510,000","3,705,000,000","26,559,140"
3577,58,100,2300000,"95,010,000","2,035,030,000","9,509,486"
3577,81,114,180000,"73,810,000","2,035,030,000","9,509,486"
3618,61,488.1,120000,"61,710,000","6,737,878,000","10,559,282"
3618,57,150,4500000,"105,510,000","6,737,878,000","10,559,282"
3625,81,2658,140000,"6,310,000","1,700,000,000","639,579"
3629,57,523,17000000,"325,610,000","17,034,000,000","32,569,790"
3666,57,65,3300000,"155,310,000","3,403,050,000","15,539,041"
3666,81,154,250000,"124,810,000","3,403,050,000","15,539,041"
3669,57,149.6,6200000,"190,810,000","2,855,800,000","19,089,572"
3685,58,97,3500000,"145,010,000","1,407,456,896","14,509,865"
3692,61,1709,220000,"94,710,000","16,200,000,000","9,479,228"
3732,57,94.2,14000000,"442,510,000","4,169,220,000","44,259,236"
3738,61,1061,243000,"102,210,000","19,716,677,000","14,486,904"
3747,81,2300,140000,"6,110,000","1,425,000,000","619,565"
3753,61,551,360000,"21,510,000","1,189,840,000","2,159,419"
3768,61,10.6,270000,"159,610,000","1,911,829,600","17,085,162"
3776,81,1066,170000,"31,110,000","3,325,000,000","3,119,137"
3815,57,97,11000000,"323,110,000","3,135,000,000","32,319,588"
3819,57,126,22000000,"452,110,000","5,697,600,000","45,219,048"
3837,57,283,3300000,"137,310,000","3,888,397,500","13,739,920"
3839,61,682,390000,"99,010,000","6,758,400,000","9,909,677"
3872,57,50,3300000,"166,910,000","2,015,635,000","16,699,544"
3872,61,70.7,250000,"136,410,000","2,015,635,000","16,699,544"
3882,58,136,2600000,"146,610,000","1,995,000,000","14,669,118"
3902,58,60,5760000,"294,610,000","3,005,848,000","29,469,098"
3909,57,300,2957500,"176,010,000","5,282,800,000","17,609,333"
3933,61,2172,2200000,"53,510,000","11,640,000,000","5,359,116"
3944,61,150,204000,"55,110,000","1,499,400,000","6,815,455"
3963,58,300,9000000,"270,810,000","29,392,300,000","27,089,677"
3963,61,785,220000,"183,010,000","29,392,300,000","27,089,677"
3964,58,158,9000000,"272,110,000","4,300,672,500","27,219,446"
4012,57,91,10000000,"294,010,000","2,676,250,000","29,409,341"
4032,58,84,3500000,"113,010,000","950,000,000","11,309,524"
4043,57,97,7000000,"236,510,000","2,295,000,000","23,659,794"
4088,81,126,200000,"75,310,000","950,000,000","7,539,683"
4090,81,493,200000,"56,710,000","2,800,000,000","5,679,513"
4097,58,300,2600000,"194,410,000","5,834,763,600","19,449,212"
4106,58,100,1300000,"69,910,000","1,298,325,000","6,999,057"
4106,61,85.5,150000,"58,410,000","1,298,325,000","6,999,057"
4114,57,83,13000000,"218,010,000","1,810,200,000","21,809,639"
4115,57,117,12000000,"297,010,000","3,476,000,000","29,709,402"
4117,57,79.3,13000000,"210,510,000","1,670,000,000","21,059,269"
4128,58,110,3500000,"116,510,000","1,282,500,000","11,659,091"
4146,58,166,13000000,"251,610,000","4,178,125,000","25,169,428"
4159,61,900,45000,"13,210,000","1,464,500,000","1,464,500"
4170,61,1160,120000,"4,310,000","510,000,000","439,655"
4188,57,58,8000000,"313,710,000","1,820,000,000","31,379,310"
4198,59,100,5000000,"220,310,000","2,203,929,600","22,039,296"
4205,57,86.2,4000000,"147,710,000","1,274,000,000","14,779,582"
4209,58,233,2500000,"163,010,000","3,800,000,000","16,309,013"
4210,81,569,170000,"55,010,000","3,135,000,000","5,509,666"
4214,58,245,3400000,"113,510,000","2,943,120,000","11,359,012"
4214,61,14.1,200000,"81,510,000","2,943,120,000","11,359,012"
4282,81,204,430000,"77,510,000","4,356,030,000","14,329,046"
4282,58,100,7000000,"143,210,000","4,356,030,000","14,329,046"
4293,58,150,6400000,"102,710,000","10,320,420,000","10,279,303"
4293,61,854,170000,"40,410,000","10,320,420,000","10,279,303"
4312,61,2034,370000,"35,310,000","7,200,000,000","3,539,823"
4328,58,240,3060000,"157,510,000","25,945,680,000","15,759,038"
4328,61,1406.4,610000,"133,010,000","25,945,680,000","15,759,038"
4340,57,112,8500000,"245,810,000","2,754,000,000","24,589,286"
4341,61,1968,190000,"33,710,000","6,650,000,000","3,379,065"
4362,58,320,1600000,"63,910,000","3,449,170,000","6,399,202"
4362,61,219,170000,"49,610,000","3,449,170,000","6,399,202"
4375,62,2175,350000,"44,510,000","9,700,000,000","4,459,770"
4401,57,68.8,8000000,"250,010,000","1,720,625,000","25,009,084"
4417,57,135.4,13000000,"269,710,000","3,653,000,000","26,979,321"
4443,57,350,3060000,"264,510,000","12,007,170,000","26,459,167"
4443,61,103.8,510000,"239,010,000","12,007,170,000","26,459,167"
4444,57,160,3060000,"183,610,000","6,319,200,000","18,369,767"
4444,61,184,510000,"158,110,000","6,319,200,000","18,369,767"
4451,58,100,5700000,"193,010,000","5,869,960,000","19,309,079"
4451,81,204,210000,"138,110,000","5,869,960,000","19,309,079"
4457,73,13704,140000,"20,710,000","28,500,000,000","2,079,685"
4492,81,99,200000,"73,310,000","726,640,000","7,339,798"
4537,58,85,4800000,"131,110,000","4,282,096,000","13,119,167"
4537,61,241.4,160000,"84,710,000","4,282,096,000","13,119,167"
4549,57,91,6000000,"289,610,000","2,636,200,000","28,969,231"
4572,58,100,3000000,"59,110,000","2,030,400,000","5,919,534"
4572,61,243,200000,"31,110,000","2,030,400,000","5,919,534"
4580,58,168,2600000,"81,910,000","1,377,500,000","8,199,405"
4582,58,113,2600000,"88,410,000","1,000,000,000","8,849,558"
4606,57,123,6000000,"105,610,000","1,300,000,000","10,569,106"
4617,58,300,3000000,"91,210,000","7,960,880,000","9,129,450"
4617,61,572,210000,"63,310,000","7,960,880,000","9,129,450"
4654,57,271.9,16000000,"241,810,000","6,577,000,000","24,189,040"
4702,57,68.6,30000000,"1,239,710,000","8,505,000,000","123,979,592"
4714,58,120,2310000,"74,810,000","4,036,604,000","7,489,061"
4734,78,238.2,192000,"239,210,000","5,700,000,000","23,929,471"
4755,61,134,615000,"208,810,000","6,800,294,000","23,130,252"
4761,58,50,2600000,"90,210,000","1,842,100,000","9,029,902"
4761,81,154,200000,"66,210,000","1,842,100,000","9,029,902"
4766,81,260,200000,"82,310,000","5,216,050,000","11,339,239"
4766,58,200,3300000,"113,310,000","5,216,050,000","11,339,239"
4798,81,114,200000,"123,210,000","1,405,600,000","12,329,825"
4799,81,90,200000,"127,510,000","1,148,399,784","12,759,998"
4830,57,60,13000000,"370,710,000","2,224,758,000","37,079,300"
4872,61,43,540000,"133,510,000","1,590,569,000","15,442,417"
4874,59,344,220000,"129,710,000","4,465,000,000","12,979,651"
4884,58,80,3000000,"123,710,000","1,547,450,000","12,379,600"
4884,61,45,190000,"95,610,000","1,547,450,000","12,379,600"
4887,57,354,10000000,"419,410,000","14,850,000,000","41,949,153"
4912,61,8209,150000,"7,810,000","6,480,000,000","789,378"
4937,57,97,21000000,"370,310,000","3,592,848,500","37,039,675"
4951,61,432,140000,"36,210,000","3,388,680,000","6,369,699"
4951,57,100,2880000,"63,610,000","3,388,680,000","6,369,699"
4970,58,91,5600000,"106,510,000","970,000,000","10,659,341"
4986,57,100,6450000,"267,302,000","2,285,298,000","8,286,070"
4986,61,175.8,140000,"260,992,000","2,285,298,000","8,286,070"
4995,58,132,3400000,"89,010,000","1,176,000,000","8,909,091"
5019,57,91,2400000,"104,310,000","950,000,000","10,439,560"
5035,61,345,1600000,"55,310,000","1,911,000,000","5,539,130"
5049,61,182,243000,"116,010,000","7,139,774,000","15,866,164"
5064,57,213.2,4000000,"182,610,000","3,895,000,000","18,269,231"
5065,57,213.2,4000000,"182,610,000","3,895,000,000","18,269,231"
5066,61,1020,170000,"35,310,000","3,610,000,000","3,539,216"
5098,58,100,4200000,"166,710,000","7,230,665,000","16,679,735"
5098,81,333.5,210000,"126,810,000","7,230,665,000","16,679,735"
5105,57,104,9900000,"1,795,710,000","18,676,272,000","179,579,538"
5108,58,300,2500000,"164,410,000","16,877,060,000","16,449,376"
5108,62,726,190000,"141,310,000","16,877,060,000","16,449,376"
5110,57,200,19000000,"308,210,000","7,725,830,000","30,829,330"
5110,61,50.6,450000,"122,710,000","7,725,830,000","30,829,330"
5138,57,112.5,16000000,"305,110,000","3,433,400,000","30,519,111"
5152,61,655.3,160000,"33,610,000","2,208,000,000","3,369,449"
5160,61,127,200000,"176,010,000","2,236,461,000","17,609,929"
5165,57,97.2,2400000,"281,710,000","2,739,000,000","28,179,012"
5179,61,250,243000,"149,110,000","8,629,250,000","19,176,111"
5208,57,148,14000000,"273,710,000","4,052,199,622","27,379,727"
5214,58,197,3000000,"102,210,000","2,015,250,000","10,229,695"
5257,61,1010.8,170000,"10,010,000","1,020,000,000","1,009,102"
5261,61,81.5,192000,"97,010,000","1,950,432,000","9,850,667"
5310,58,80,2100000,"89,910,000","2,033,860,000","8,999,381"
5310,61,146,190000,"70,810,000","2,033,860,000","8,999,381"
5313,58,50,2100000,"85,710,000","3,234,570,000","8,579,761"
5313,61,327,190000,"66,610,000","3,234,570,000","8,579,761"
5326,57,45,8000000,"194,710,000","1,782,335,000","19,479,071"
5326,61,46.5,410000,"118,810,000","1,782,335,000","19,479,071"
5327,58,118.2,8000000,"233,210,000","2,757,500,000","23,329,103"
5355,81,1044,120000,"9,610,000","1,012,000,000","969,349"
5402,61,2108.1,100000,"4,110,000","883,500,000","419,098"
5405,57,249.8,5000000,"153,710,000","7,792,844,000","15,379,601"
5405,61,256.9,240000,"106,110,000","7,792,844,000","15,379,601"
5421,81,3850,170000,"15,210,000","5,890,000,000","1,529,870"
5438,58,70,3300000,"135,410,000","1,881,979,000","13,549,165"
5438,61,68.9,190000,"104,310,000","1,881,979,000","13,549,165"
5463,57,60,4500000,"254,210,000","1,525,750,000","25,429,167"
5467,57,119,8000000,"246,310,000","2,932,125,000","24,639,706"
5474,57,147.6,10000000,"154,810,000","2,286,250,000","15,489,499"
5482,58,125,3000000,"121,610,000","3,322,153,576","12,169,061"
5482,62,148,170000,"93,310,000","3,322,153,576","12,169,061"
5484,58,80,9000000,"162,110,000","3,341,300,000","16,219,903"
5484,61,126,200000,"74,110,000","3,341,300,000","16,219,903"
5492,58,300,2400000,"118,210,000","4,791,000,000","11,829,630"
5492,62,105,200000,"96,210,000","4,791,000,000","11,829,630"
5497,57,300,480000,"43,810,000","12,452,776,000","4,389,881"
5497,61,2536.7,200000,"41,010,000","12,452,776,000","4,389,881"
5498,61,4118.3,220000,"21,610,000","8,934,000,000","2,169,342"
5500,57,200,2000000,"116,410,000","19,169,080,000","11,649,395"
5500,81,1445.5,240000,"98,810,000","19,169,080,000","11,649,395"
5510,61,47,243000,"123,510,000","2,001,579,000","13,616,184"
5524,62,227.5,240000,"88,010,000","5,715,400,000","11,969,424"
5524,57,250,3400000,"119,610,000","5,715,400,000","11,969,424"
5525,57,515.9,2600000,"106,210,000","5,483,875,000","10,629,725"
5532,58,80,5100000,"352,610,000","3,516,333,000","35,269,137"
5532,62,19.7,210000,"303,710,000","3,516,333,000","35,269,137"
5553,57,60,11000000,"268,310,000","3,891,700,000","26,839,310"
5553,61,85,280000,"161,110,000","3,891,700,000","26,839,310"
5555,57,90.1,29000000,"1,014,910,000","9,145,134,000","101,499,822"
5557,57,65,4000000,"147,710,000","1,773,550,000","14,779,583"
5557,61,55,390000,"111,610,000","1,773,550,000","14,779,583"
5566,57,60,2683000,"109,010,000","2,138,176,000","10,909,061"
5576,58,100,3500000,"105,910,000","1,228,470,000","10,599,396"
5576,61,15.9,200000,"72,910,000","1,228,470,000","10,599,396"
5598,58,253.8,850000,"50,910,000","1,417,111,000","5,099,356"
5598,61,24.1,140000,"43,810,000","1,417,111,000","5,099,356"
5625,57,113.1,4000000,"167,910,000","1,900,000,000","16,799,293"
5642,57,73.9,4600000,"220,210,000","1,628,000,000","22,029,770"
5649,58,300,3300000,"97,110,000","7,980,100,000","9,719,976"
5649,81,521,200000,"66,110,000","7,980,100,000","9,719,976"
5665,58,135,6000000,"172,410,000","4,105,340,000","17,249,328"
5665,61,103,220000,"114,610,000","4,105,340,000","17,249,328"
5686,68,24187.3,0,"35,610,000","86,331,800,000","3,569,303"
5723,58,80,3000000,"231,710,000","3,089,773,000","23,179,092"
5723,62,53.3,190000,"203,610,000","3,089,773,000","23,179,092"
5735,61,51.9,410000,"221,110,000","12,158,303,000","32,709,989"
5735,61,119.8,410000,"221,110,000","12,158,303,000","32,709,989"
5735,57,200,11000000,"327,010,000","12,158,303,000","32,709,989"
5736,57,110,11000000,"496,510,000","6,187,614,000","49,659,823"
5736,61,14.6,410000,"390,610,000","6,187,614,000","49,659,823"
5738,61,366.5,243000,"181,010,000","11,812,380,500","21,226,200"
5739,61,366.5,243000,"181,010,000","11,812,380,500","21,226,200"
5753,57,88.1,11000000,"291,610,000","2,569,850,000","29,169,694"
5764,57,98.6,23000000,"692,610,000","6,830,000,000","69,269,777"
5802,57,370,2400000,"177,210,000","6,560,000,000","17,729,730"
5803,57,69,8000000,"313,310,000","2,162,400,000","31,339,130"
5808,57,65,8000000,"256,010,000","1,664,600,000","25,609,231"
5810,61,540,243000,"79,410,000","6,573,780,000","10,956,300"
5811,57,58.5,8000000,"333,810,000","1,953,300,000","33,389,744"
5814,61,440,243000,"66,710,000","4,843,080,000","9,686,160"
5820,57,322.1,3300000000,"1,079,910,000","34,786,800,000","108,000,000"
5870,57,387.3,38000000,"1,019,510,000","39,489,082,500","101,959,934"
5904,65,526.3,260000,"29,710,000","1,568,000,000","2,979,289"
5907,57,250,1800000,"51,310,000","1,353,704,000","5,139,347"
5907,61,13.4,240000,"35,710,000","1,353,704,000","5,139,347"
5912,57,30,5880000,"115,710,000","17,118,659,200","11,579,180"
5913,61,251.2,292000,"88,410,000","4,348,705,600","14,437,934"
5916,58,300,1300000,"45,610,000","6,234,704,000","4,569,557"
5916,61,1064.4,140000,"34,010,000","6,234,704,000","4,569,557"
5922,62,729,200000,"56,710,000","4,140,000,000","5,679,012"
5950,57,100,3206500,"159,510,000","2,387,615,200","15,959,995"
5951,57,60,3206500,"246,410,000","3,655,451,950","24,649,035"
5989,57,112.5,8000000,"246,710,000","2,776,407,200","24,679,175"
5993,58,202,2400000,"188,110,000","4,239,947,000","18,819,117"
5993,61,23.3,160000,"165,710,000","4,239,947,000","18,819,117"
6002,57,114,23000000,"688,510,000","7,850,000,000","68,859,649"
6010,57,40,1500000,"72,910,000","2,116,750,000","7,299,138"
6011,61,195,243000,"58,410,000","1,670,115,000","7,106,872"
6012,61,256.8,240000,"66,110,000","1,700,000,000","6,619,938"
6044,57,95,2100000,"357,810,000","3,400,000,000","35,789,474"
6081,61,2500,180000,"9,710,000","2,448,000,000","979,200"
6083,61,2036.8,180000,"9,710,000","1,995,000,000","979,478"
6085,61,90,779000,"337,210,000","7,115,215,000","44,470,094"
6105,81,1524,140000,"18,810,000","2,880,000,000","1,889,764"
6114,61,1000.3,180000,"33,210,000","3,330,000,000","3,329,001"
6115,61,1000.1,180000,"33,210,000","3,330,000,000","3,329,667"
6147,57,124.9,4200000,"219,610,000","2,744,000,000","21,969,576"
6158,58,300,5800000,"164,310,000","8,267,327,000","16,439,306"
6158,81,202.9,170000,"108,010,000","8,267,327,000","16,439,306"
6200,61,956,200000,"40,710,000","3,900,000,000","4,079,498"
6206,61,1920.5,130000,"9,410,000","1,824,000,000","949,753"
6254,57,200,10000000,"284,410,000","5,689,935,000","28,449,675"
6259,61,1018,130000,"19,510,000","1,995,000,000","1,959,725"
6270,58,40,1500000,"63,410,000","1,828,600,000","6,349,306"
6329,57,61.4,4200000,"227,110,000","1,395,000,000","22,719,870"
6335,62,177,410000,"101,610,000","1,800,000,000","10,169,492"
6372,61,102,200000,"87,410,000","892,400,000","8,749,020"
6379,81,13819.8,165000,"11,210,000","41,509,333,000","2,964,995"
6397,58,137,2600000,"200,210,000","2,744,000,000","20,029,197"
6398,58,137.5,2600000,"189,010,000","2,600,000,000","18,909,091"
6411,58,130,2200000,"182,610,000","2,375,000,000","18,269,231"
6428,61,64.2,165000,"105,510,000","1,873,794,500","12,994,414"
6441,58,170.5,3500000,"309,010,000","5,270,000,000","30,909,091"
6458,57,105,6000000,"425,710,000","4,470,800,000","42,579,048"
6462,61,70,243000,"84,110,000","1,257,990,000","9,676,846"
6465,58,543,1200000,"44,110,000","2,400,000,000","4,419,890"
6501,57,293,2100000,"275,510,000","8,075,000,000","27,559,727"
6502,57,293,2100000,"275,510,000","8,075,000,000","27,559,727"
6506,61,100,194000,"59,010,000","1,443,100,000","7,215,500"
6507,58,100,1500000,"72,710,000","2,911,800,000","7,279,500"
6521,57,101,4200000,"310,310,000","3,135,000,000","31,039,604"
6525,57,50,3400000,"158,910,000","2,623,430,000","15,899,576"
6538,58,300,576000,"13,010,000","4,712,700,000","1,309,083"
6542,58,188.7,5500000,"160,510,000","3,086,690,000","16,059,781"
6542,61,3.5,160000,"107,110,000","3,086,690,000","16,059,781"
6544,81,1008,190000,"11,410,000","1,159,000,000","1,149,802"
6551,61,1115,220000,"92,610,000","22,002,200,000","15,549,258"
6551,58,300,6500000,"155,410,000","22,002,200,000","15,549,258"
6552,61,1115,220000,"92,610,000","22,002,200,000","15,549,258"
6552,58,300,6500000,"155,410,000","22,002,200,000","15,549,258"
6553,61,762,220000,"125,310,000","17,633,610,000","18,819,221"
6553,58,175,6500000,"188,110,000","17,633,610,000","18,819,221"
6554,61,762,220000,"125,310,000","17,633,610,000","18,819,221"
6554,58,175,6500000,"188,110,000","17,633,610,000","18,819,221"
6570,57,143,13000000,"435,410,000","6,227,625,000","43,549,825"
6571,57,143,13000000,"435,410,000","6,227,625,000","43,549,825"
6593,58,100,1916000,"36,310,000","1,019,000,000","3,639,286"
6593,61,180,116000,"18,310,000","1,019,000,000","3,639,286"
